,Address,State,ProjectKey,ProjectName,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
519,7801 n hws cleveland blvd bennington ne 68007,NE ,3899,Bennington New Elementary School,Elementary School,PINE CREEK ELEMENTARY,492,62500.0,127.03252032520325
347,3725 e love cactus drive phoenix az 85050,AZ ,15779,PVUSD Elementary School #32,Elementary School,FIRESIDE ELEMENTARY SCHOOL,826,88664.0,107.34140435835351
38,105 nw pleasant st ankeny ia 50023,IA ,7974,Parkview Middle School Additions,Middle School,PARKVIEW MIDDLE SCHOOL,916,24830.0,27.106986899563317
382,4315 e cashman dr phoenix az 85050,AZ ,16310,Paradise Valley Unified School District ,,DESERT TRAILS ELEMENTARY SCHOOL,611,76761.0,125.63175122749591
129,140 s gilbert rd gilbert az 85296,AZ ,14176,"Higley Maint, Trans, Warehouse Bldg Site",,GILBERT GLOBAL ACADEMY 7-12,130,18200.0,140.0
327,3333 penn ave n minneapolis mn 55412,MN ,21026,Lucy Laney Community School,Elementary School,LUCY LANEY @ CLEVELAND PARK ELEM,464,112000.0,241.3793103448276
351,3808 w joan de arc ave phoenix az 85029,AZ ,16324,Chaparral Elem Renovation      Po#990288,Elementary School,CHAPARRAL ELEMENTARY SCHOOL,523,63288.0,121.00956022944551
209,2002 e campbell ave phoenix az 85016,AZ ,16298,Madison Elementary School,Elementary School,MADISON CAMELVIEW ELEMENTARY,617,82880.0,134.32739059967585
83,1201 west cheyenne road colorado springs co 80906,CO ,20582,Cheyenne Mountain High School '99 Addns,High School,CANON ELEMENTARY SCHOOL,139,50000.0,359.71223021582733
406,4901 alburnett rd marion ia 52302,IA ,73136,Oak Ridge MS Addition,Middle School,OAK RIDGE SCHOOL,828,9200.0,11.11111111111111
407,4901 alburnett rd marion ia 52302,IA ,73137,Oak Ridge MS Addition,Middle School,OAK RIDGE SCHOOL,828,9200.0,11.11111111111111
405,4901 alburnett rd marion ia 52302,IA ,8888,Oak Ridge MS Addition,Middle School,OAK RIDGE SCHOOL,828,11600.0,14.009661835748792
208,2001 avenue b fort madison ia 52627,IA ,85689,Ft. Madison HS-HVAC Improvement Phase 2,High School,FORT MADISON HIGH SCHOOL,567,10745.0,18.950617283950617
55,11256 n 128th st scottsdale az 85259,AZ ,16263,Mountainside Middle School,Middle School,MOUNTAINSIDE MIDDLE SCHOOL,592,152700.0,257.93918918918916
170,1800 south 55th kansas city ks 66106,KS ,72827,Turner ASC HVAC Improvements,Academic,TURNER ELEM,583,25392.0,43.55403087478559
468,624 n rexford dr beverly hills ca 90210,CA ,35312,BHUSD - Hawthorne School - Modernization,High School,HAWTHORNE ELEMENTARY,609,108892.0,178.80459770114942
399,4600 s bright angel way chandler az 85249,AZ ,14235,Old Stone Ranch K-6 Elementary School,Elementary School,AUDREY & ROBERT RYAN ELEMENTARY,741,76500.0,103.23886639676114
210,2002 oak st granger ia 50109,IA ,82968,Woodward-Granger New Elementary School,Elementary School,WOODWARD-GRANGER ELEMENTARY SCHOOL,275,69000.0,250.9090909090909
270,2701 w memorial dr anthem az 85086,AZ ,13780,DVUSD  Elementary #22,Elementary School,GAVILAN PEAK SCHOOL,687,81114.0,118.06986899563319
19,1001 w stone st fayetteville ar 72701,AR ,25226,Fayetteville HS Additions & Renovations,High School,FAYETTEVILLE HIGH SCHOOL EAST,2628,177210.0,67.43150684931507
219,21000 141st ave rogers mn 55374,MN ,20881,Rogers High School,High School,ROGERS SENIOR HIGH,1617,255000.0,157.69944341372914
555,910 e washington st phoenix az 85034,AZ ,16431,Alternative Center For Education,,FAITH NORTH EARLY CHILDHOOD LEARNING CENTER,126,28824.0,228.76190476190476
273,2727 e siesta ln phoenix az 85050,AZ ,16417,Paradise Valley Elementary #28 Po #4897,Elementary School,SUNSET CANYON SCHOOL,426,76761.0,180.19014084507043
551,901 h ave milford ia 51351,IA ,7574,Okoboji High School Gymnasium Add.,High School,OKOBOJI HIGH SCHOOL,320,31303.0,97.821875
227,21395 goodview ave n forest lake mn 55025,MN ,21046,Century Jr HS,High School,FOREST LAKE AREA MIDDLE SCHOOL,844,171560.0,203.27014218009478
226,21395 goodview ave n forest lake mn 55025,MN ,66956,Forest Lake Century  Sch Add/Remodeling,Middle School,FOREST LAKE AREA MIDDLE SCHOOL,844,44765.0,53.03909952606635
568,9709 60 av s seattle wa 98118,WA ,26051,Emerson Elem-AutoCad Backgrounds,Elementary School,EMERSON ELEMENTARY SCHOOL,383,73578.0,192.10966057441254
559,9330 ne high school rd bainbridge island wa 98110,WA ,26612,The Commodore Ctr Ph 1-Demo & Renov,,BAINBRIDGE HIGH SCHOOL,1369,34000.0,24.83564645726808
