,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
0,0727 cove boulevard dillon co 80435,0727 cove boulevard dillon co 80435,1.0,20473,20473,Summit Cove Elementary School,,D,,SUMMIT COVE ELEMENTARY SCHOOL,250,52000.0,208.0
654,3302 w 18th ave emporia ks 66801,3302 w 18th ave emporia ks 66801,1.0,9220,9220,Emporia High School Addns & Renov,,D,,EMPORIA HIGH,1598,55566.0,34.77221526908636
636,32030 nw north ave north plains or 97133,32030 nw north ave north plains or 97133,1.0,107069,107069,Hillsboro - North Plains E.S. (#28),Contract,A,Elementary School,NORTH PLAINS ELEMENTARY SCHOOL,411,73700.0,179.31873479318736
1205,9150 lexington drive colorado springs co 80920,9150 lexington drive colorado springs co 80920,1.0,20494,20494,Mountain Ridge Middle School,,D,,MOUNTAIN RIDGE MIDDLE SCHOOL,989,111400.0,112.63902932254803
1159,830 24th ave se albany or 97322,830 se 24th ave albany or 97322,1.0,95183,95183,Calapooia MS,Notice to Proceed,I,Middle School,CALAPOOIA MIDDLE SCHOOL,702,9650.0,13.746438746438747
1211,925 south holly liberal ks 67901,925 south holly liberal ks 67901,1.0,80048,80048,"Liberal, KS - New MacArthur ES",Contract,D,Elementary School,MACARTHUR ELEMENTARY SCHOOL,407,71743.0,176.27272727272728
457,21300 college blvd olathe ks 66061,21300 college blvd  olathe ks 66061,1.0,9516,9516,Prairie Learning Center FF & E,Revised Contract,D,,OLATHE NORTHWEST HIGH SCHOOL,1883,31000.0,16.463090812533192
1137,8224 ne 138th kirkland wa 98034,8224 ne 138th kirkland wa 98034,1.0,26100,26100,Thoreau Elementary School,Revised Contract,D,Elementary School,THOREAU ELEMENTARY,480,52217.0,108.78541666666666
514,2430 mcrae blvd el paso tx 79925,2430 mcrae blvd el paso tx 79925,1.0,89499,89499,Ysleta Public Schools-Eastwood HS Renov,Contract,I,Academic,EASTWOOD H S,2274,301540.0,132.6033421284081
631,3180 county road 5 erie co 80516,3180 county road 5 erie co 80516,1.0,76022,76022,Erie H.S. Addition/Remodel,Contract,A,Academic,ERIE HIGH SCHOOL,1467,35000.0,23.85821404226312
1176,8715 holmes kansas city mo 64131,8715 holmes kansas city mo 64131,1.0,10848,10848,Center High School Addn & Rnvs.,,D,,CENTER SR. HIGH,668,185650.0,277.9191616766467
544,2680 mabry dr sacramento ca 95835,2680 mabry dr sacramento ca 95835,1.0,38235,38235,Natomas USD Westlake C.S. K-8 Campus,Contract,I,Academic,WESTLAKE CHARTER,976,84000.0,86.06557377049181
490,225 w ocotillo rd phoenix az 85013,225 w ocotillo rd phoenix az 85013,0.9999999999999999,108245,108245,Madison ESD Meadows MS-PH2 Replacement,Contract,A,Academic,MADISON MEADOWS SCHOOL,805,52620.0,65.36645962732919
596,307 south morrill ave hiawatha ks 66434,307 south morrill ave hiawatha ks 66434,0.9999999999999999,10313,10313,Hiawatha Middle School,,D,,HIAWATHA MIDDLE SCHOOL,305,65487.0,214.71147540983605
189,12500 huron street westminster co 80234,12500 huron street westminster co 80234,0.9999999999999999,19291,19291,Adams 12 New HS #5,Revised Contract,D,High School,MOUNTAIN RANGE HIGH SCHOOL,1892,247000.0,130.54968287526427
736,3960 se cedar st hillsboro or 97123,3960 se cedar st hillsboro or 97123,0.9999999999999999,93477,93477,Hillsboro SD -Brookwood ES,Contract,A,Elementary School,BROOKWOOD ELEMENTARY SCHOOL,343,73700.0,214.86880466472303
966,6205 farthing drive colorado springs co 80906,6205 farthing drive colorado springs co 80906,0.9999999999999999,20485,20485,Pinon Valley Elementary School,,D,,PINON VALLEY ELEMENTARY SCHOOL,315,45000.0,142.85714285714286
848,4910 jedediah smith road colorado springs co 80922,4910 jedediah smith road colorado springs co 80922,0.9999999999999999,99044,99044,Stetson Elementary Kitchen Remodel,Contract,A,Elementary School,STETSON ELEMENTARY SCHOOL,521,1680.0,3.224568138195777
491,225 w ocotillo rd phoenix az 85013,225 w ocotillo rd phoenix az 85013,0.9999999999999999,104619,104619,Madison ESD Meadows MS-PH2 Replacement,Blue Sky,I,Academic,MADISON MEADOWS SCHOOL,805,65000.0,80.74534161490683
1190,900 se 5th st gresham or 97080,900 se  5th st gresham or 97080,0.9999999999999998,77940,77940,East Gresham Elementary School,Contract,I,Elementary School,EAST GRESHAM ELEMENTARY SCHOOL,391,77000.0,196.9309462915601
